,Content ID,Content Type,Category,Type,Datetime,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2020-11-07 09:43:50,negative,0.0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,2021-06-17 12:22:51,negative,10.0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2021-04-18 05:13:58,negative,15.0
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2021-01-06 19:13:01,negative,0.0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-08-23 12:25:58,positive,30.0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2020-12-07 06:27:54,neutral,35.0
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,2021-04-11 17:35:49,positive,70.0
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2021-01-27 08:32:09,negative,5.0
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2021-04-01 22:54:23,neutral,35.0
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,2020-11-07 08:36:27,neutral,20.0
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-11-02 06:28:53,negative,15.0
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-11-01 01:16:21,positive,30.0
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2020-10-07 18:39:08,negative,5.0
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-09-03 18:51:38,negative,15.0
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,2021-02-24 05:09:23,positive,75.0
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2020-09-23 06:24:11,neutral,35.0
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,2021-02-24 11:37:57,neutral,20.0
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-05-22 19:44:23,positive,30.0
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2020-11-20 17:26:23,neutral,35.0
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,2021-04-11 20:47:13,negative,12.0
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,like,2021-06-13 16:46:06,positive,50.0
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,heart,2021-04-11 14:29:59,positive,60.0
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,2021-03-02 19:21:19,negative,12.0
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2020-06-27 18:44:39,negative,5.0
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2021-05-09 21:05:17,negative,5.0
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,2020-08-04 23:58:42,positive,70.0
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,2020-08-28 03:57:20,positive,75.0
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2021-04-20 23:48:12,negative,15.0
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-03-07 12:40:11,positive,30.0
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,2021-05-24 03:21:13,neutral,20.0
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,2021-01-24 11:03:43,positive,75.0
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2021-04-09 02:46:20,negative,0.0
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,2021-02-02 03:43:43,positive,75.0
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-02-04 03:06:12,positive,30.0
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,2020-11-09 02:49:59,negative,10.0
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-09-29 16:00:27,negative,15.0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,want,2021-02-13 07:54:01,positive,70.0
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-07-14 05:28:44,positive,30.0
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,2020-08-23 10:30:37,neutral,20.0
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,2021-05-10 09:27:42,negative,12.0
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2021-03-15 03:59:11,negative,5.0
41,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,dislike,2020-06-25 17:01:58,negative,10.0
42,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,intrigued,2020-09-13 00:11:50,positive,45.0
43,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,2020-08-20 18:17:06,neutral,35.0
44,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,scared,2021-02-11 04:53:56,negative,15.0
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,2021-03-08 10:40:53,negative,5.0
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,2021-03-28 21:15:26,negative,0.0
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,2021-05-25 01:00:28,negative,5.0
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,like,2021-03-15 12:17:43,positive,50.0
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,2021-05-05 16:26:43,positive,65.0
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,heart,2021-06-16 03:02:28,positive,60.0
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,indifferent,2020-07-07 10:52:30,neutral,20.0
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,2020-08-20 07:59:11,neutral,35.0
